Kredi Başvuru No,Müşteri No,Bakmakla Yükümlü Sayısı,Eğitim Durumu,Serbest Çalışan mı,Yıllık Gelir,Talep Edilen Kredi Tutarı,Kredi Vadesi (Ay),Kredi Notu,Konut Varlık Değeri,Ticari Varlık Değeri,Lüks Varlık Değeri,Banka Varlık Değeri,Kredi Kararı,Başvuru Tarihi
973,454,3,Lisans Mezunu,Evet,4400000,15800000,18,779,7200000,5400000,14900000,3600000,Onaylandı,2024-05-07
974,475,2,Lisans Mezunu,Evet,1900000,5000000,14,641,1000000,900000,5500000,2400000,Onaylandı,2025-09-06
975,499,0,Lisans Mezunu,Evet,5000000,18400000,12,752,14600000,4000000,10500000,6500000,Onaylandı,2025-03-16
976,125,0,Lisans Mezunu,Hayır,8000000,23700000,10,305,22200000,11600000,17200000,12000000,Reddedildi,2025-03-28
977,144,4,Lise Mezunu,Hayır,8200000,20700000,10,546,10800000,7000000,25000000,10600000,Reddedildi,2025-07-24
978,538,2,Lisans Mezunu,Hayır,7000000,24200000,8,833,13700000,4100000,26100000,9100000,Onaylandı,2024-02-05
979,219,2,Lise Mezunu,Hayır,2400000,8800000,18,421,3200000,1500000,6700000,1400000,Reddedildi,2024-03-10
980,646,5,Lisans Mezunu,Hayır,6600000,18800000,4,639,3200000,1100000,25100000,4300000,Onaylandı,2024-09-22
981,961,3,Lisans Mezunu,Hayır,3200000,6900000,20,735,1500000,3700000,9200000,3100000,Onaylandı,2024-05-03
982,73,0,Lise Mezunu,Evet,2600000,5400000,2,377,100000,4900000,6100000,2700000,Reddedildi,2025-10-08
983,186,3,Lise Mezunu,Hayır,6900000,15600000,20,310,4500000,3600000,20400000,4800000,Reddedildi,2025-06-05
984,294,4,Lisans Mezunu,Hayır,4800000,14000000,2,695,11300000,1700000,15400000,4600000,Onaylandı,2024-07-15
985,993,1,Lise Mezunu,Evet,300000,1200000,4,355,700000,300000,800000,200000,Onaylandı,2024-02-08
986,869,1,Lise Mezunu,Evet,4300000,14100000,12,525,2100000,1100000,14100000,5500000,Reddedildi,2024-02-03
987,601,5,Lise Mezunu,Hayır,700000,2400000,20,330,1300000,700000,2500000,500000,Reddedildi,2024-01-06
988,151,5,Lisans Mezunu,Hayır,9400000,25800000,14,625,28200000,15400000,30800000,11100000,Onaylandı,2025-09-16
989,814,3,Lise Mezunu,Evet,800000,2900000,10,644,600000,500000,2900000,400000,Onaylandı,2024-04-14
990,962,5,Lise Mezunu,Hayır,4400000,14900000,4,865,8200000,6200000,14900000,3500000,Onaylandı,2025-03-05
991,54,1,Lisans Mezunu,Evet,4700000,14800000,6,661,8500000,6000000,13600000,6400000,Onaylandı,2025-09-15
992,758,2,Lise Mezunu,Hayır,2300000,5000000,8,884,1400000,1700000,6100000,1500000,Onaylandı,2025-10-14
993,318,5,Lisans Mezunu,Evet,8500000,26700000,10,803,500000,16600000,24400000,9600000,Onaylandı,2024-08-17
994,330,2,Lisans Mezunu,Hayır,7600000,28300000,12,800,19700000,14800000,15600000,7800000,Onaylandı,2025-03-10
995,130,2,Lisans Mezunu,Hayır,3200000,12600000,18,796,6200000,3500000,9600000,2000000,Onaylandı,2024-01-31
996,605,4,Lise Mezunu,Hayır,2400000,5000000,4,716,1500000,2800000,6900000,1400000,Onaylandı,2025-10-03
997,411,0,Lisans Mezunu,Evet,500000,1100000,18,479,1500000,500000,1800000,600000,Reddedildi,2024-05-09
998,634,3,Lise Mezunu,Evet,8500000,28300000,2,810,25200000,4300000,18500000,10700000,Onaylandı,2025-09-06
999,9,0,Lisans Mezunu,Evet,8900000,20900000,18,568,18800000,700000,32700000,5300000,Onaylandı,2025-04-26
1000,978,0,Lisans Mezunu,Hayır,2800000,5600000,8,842,0,1300000,6100000,1900000,Onaylandı,2024-09-15
1001,36,3,Lise Mezunu,Evet,2900000,7000000,4,806,5700000,5600000,5900000,3000000,Onaylandı,2024-05-07
1002,222,1,Lisans Mezunu,Evet,4900000,17700000,8,722,9200000,7300000,16400000,3000000,Onaylandı,2024-09-02
1003,408,5,Lise Mezunu,Hayır,9600000,20700000,14,442,25800000,9800000,31800000,8200000,Reddedildi,2024-01-22
1004,988,3,Lisans Mezunu,Evet,3300000,9800000,6,360,4500000,600000,11000000,4400000,Reddedildi,2024-06-07
1005,163,3,Lise Mezunu,Hayır,2800000,5900000,4,461,1600000,400000,8900000,2800000,Reddedildi,2025-01-21
1006,987,2,Lisans Mezunu,Hayır,7800000,22200000,10,735,9700000,4600000,23000000,6900000,Onaylandı,2025-08-24
1007,881,4,Lisans Mezunu,Evet,2500000,8400000,12,761,6300000,1300000,8400000,1600000,Onaylandı,2024-10-29
1008,146,0,Lisans Mezunu,Hayır,4400000,10600000,20,653,6800000,4600000,16800000,5400000,Onaylandı,2024-03-09
1009,30,0,Lise Mezunu,Hayır,7900000,30800000,4,726,5000000,14600000,23800000,5500000,Onaylandı,2024-09-12
1010,634,1,Lisans Mezunu,Hayır,8900000,22600000,18,617,8400000,15500000,27900000,11700000,Onaylandı,2024-10-23
1011,788,0,Lisans Mezunu,Hayır,5600000,13400000,2,460,3400000,4100000,14800000,4100000,Reddedildi,2024-05-16
1012,438,1,Lise Mezunu,Hayır,1400000,3300000,8,306,3200000,800000,2700000,800000,Reddedildi,2025-05-21
1013,36,5,Lisans Mezunu,Evet,500000,1400000,4,471,500000,100000,1300000,300000,Reddedildi,2025-09-28
1014,280,1,Lisans Mezunu,Evet,5100000,15300000,4,628,6900000,3300000,17600000,2700000,Onaylandı,2024-04-02
1015,458,3,Lisans Mezunu,Hayır,9800000,25600000,10,404,24400000,6700000,37000000,11500000,Reddedildi,2025-09-17
1016,796,2,Lisans Mezunu,Evet,8600000,21600000,16,804,15400000,300000,26800000,7100000,Onaylandı,2025-08-23
1017,650,3,Lise Mezunu,Hayır,1600000,3900000,20,804,900000,2500000,3200000,800000,Onaylandı,2024-12-16
1018,250,1,Lise Mezunu,Evet,2500000,6700000,2,502,3400000,2600000,9400000,1400000,Reddedildi,2025-04-19
1019,545,0,Lisans Mezunu,Hayır,9500000,22600000,6,861,24700000,13200000,29000000,5600000,Onaylandı,2025-10-25
1020,992,2,Lise Mezunu,Evet,3000000,7800000,14,555,6600000,2700000,9600000,1700000,Onaylandı,2024-10-19
1021,459,0,Lise Mezunu,Hayır,5100000,13600000,18,351,1700000,3700000,14400000,7600000,Reddedildi,2025-04-20
1022,175,2,Lise Mezunu,Evet,7600000,23600000,6,358,20200000,2900000,22100000,10900000,Reddedildi,2024-04-18
1023,383,5,Lisans Mezunu,Hayır,8800000,18800000,14,836,17300000,10100000,32700000,5400000,Onaylandı,2025-05-20
1024,300,4,Lise Mezunu,Evet,1100000,2900000,4,554,2800000,1000000,4100000,1600000,Onaylandı,2024-07-15
1025,606,3,Lisans Mezunu,Hayır,8700000,30500000,2,443,11800000,1800000,24600000,8100000,Onaylandı,2025-05-19
1026,501,5,Lise Mezunu,Hayır,6100000,23600000,4,725,17400000,5100000,15600000,4800000,Onaylandı,2025-08-04
1027,264,2,Lise Mezunu,Evet,1900000,7000000,14,818,4800000,3500000,4500000,2100000,Onaylandı,2024-01-30
1028,556,1,Lise Mezunu,Hayır,9900000,38700000,6,670,19400000,12600000,35800000,6500000,Onaylandı,2025-10-25
1029,594,0,Lisans Mezunu,Hayır,5800000,21100000,6,414,7900000,2400000,16000000,5600000,Reddedildi,2024-01-10
1030,972,2,Lise Mezunu,Evet,9500000,37000000,8,887,21800000,18300000,19200000,11700000,Onaylandı,2025-09-01
1031,538,3,Lisans Mezunu,Evet,7900000,26600000,12,409,17100000,1400000,22500000,8700000,Reddedildi,2024-05-01
1032,798,1,Lise Mezunu,Evet,1300000,4500000,14,679,2700000,2100000,3700000,1600000,Onaylandı,2024-07-21
1033,694,4,Lisans Mezunu,Evet,700000,2600000,18,478,600000,600000,2100000,300000,Reddedildi,2024-02-20
1034,912,3,Lisans Mezunu,Hayır,600000,1200000,2,752,1100000,500000,2300000,700000,Onaylandı,2025-10-10
1035,326,0,Lisans Mezunu,Hayır,9400000,33000000,4,616,15400000,5000000,25100000,7800000,Onaylandı,2024-09-04
1036,617,2,Lise Mezunu,Evet,3800000,12500000,14,842,3700000,6700000,14600000,5300000,Onaylandı,2024-08-14
1037,859,3,Lisans Mezunu,Evet,7800000,26300000,20,840,1200000,11300000,24100000,5300000,Onaylandı,2025-01-21
1038,836,3,Lisans Mezunu,Evet,7800000,27700000,6,430,2000000,8000000,26100000,5300000,Reddedildi,2025-02-23
1039,752,4,Lise Mezunu,Hayır,2700000,7000000,4,351,1100000,2300000,8300000,2700000,Reddedildi,2025-07-27
1040,255,5,Lise Mezunu,Hayır,600000,2300000,4,347,0,0,1900000,200000,Reddedildi,2024-11-24
1041,239,3,Lise Mezunu,Evet,8000000,28800000,10,576,18800000,7500000,16300000,11900000,Onaylandı,2024-03-10
1042,68,0,Lise Mezunu,Evet,4000000,11000000,8,799,4400000,6100000,14700000,4200000,Onaylandı,2025-01-18
1043,289,1,Lise Mezunu,Evet,3300000,10800000,2,550,6000000,3800000,11000000,4700000,Onaylandı,2024-04-11
1044,195,2,Lisans Mezunu,Hayır,5800000,13300000,4,878,8400000,5400000,18600000,4500000,Onaylandı,2024-09-09
1045,341,3,Lisans Mezunu,Evet,2400000,4800000,12,895,6800000,300000,7300000,3300000,Onaylandı,2024-05-04
1046,798,4,Lise Mezunu,Hayır,7600000,29700000,6,603,3200000,2900000,27800000,11000000,Onaylandı,2024-01-31
1047,106,2,Lise Mezunu,Evet,2500000,6900000,12,325,5800000,1600000,6400000,3600000,Reddedildi,2025-04-05
1048,56,2,Lisans Mezunu,Hayır,3300000,11800000,4,393,5700000,3700000,6800000,2600000,Onaylandı,2024-09-28
1049,68,3,Lisans Mezunu,Hayır,9800000,30300000,2,612,10700000,4600000,32100000,5600000,Onaylandı,2025-04-14
1050,318,0,Lisans Mezunu,Evet,1000000,3800000,8,553,2500000,1000000,2100000,1300000,Onaylandı,2024-01-14
1051,123,0,Lise Mezunu,Evet,2500000,8800000,14,389,7300000,1400000,8500000,3600000,Reddedildi,2024-10-01
1052,898,0,Lisans Mezunu,Hayır,1900000,6800000,4,782,100000,3400000,4900000,2400000,Onaylandı,2024-02-09
1053,839,3,Lisans Mezunu,Hayır,3100000,8500000,12,493,8700000,5100000,12000000,2000000,Reddedildi,2024-11-21
1054,444,5,Lisans Mezunu,Evet,6000000,11900000,2,629,2500000,0,19200000,4200000,Onaylandı,2025-10-11
1055,407,5,Lise Mezunu,Hayır,6500000,21600000,10,419,1600000,10900000,22300000,6600000,Reddedildi,2024-10-30
1056,790,2,Lise Mezunu,Evet,5900000,15800000,2,444,14300000,4300000,20300000,5500000,Reddedildi,2025-03-16
1057,534,5,Lise Mezunu,Evet,6500000,15800000,16,301,9200000,9900000,17400000,7100000,Reddedildi,2024-12-03
1058,6,0,Lisans Mezunu,Evet,3800000,11200000,20,479,1100000,6400000,12000000,5400000,Reddedildi,2024-12-09
1059,655,3,Lise Mezunu,Evet,3000000,11400000,10,424,1800000,4200000,10900000,1500000,Reddedildi,2025-05-26
1060,751,0,Lisans Mezunu,Hayır,4300000,16900000,18,469,200000,5800000,12000000,6200000,Reddedildi,2025-06-17
1061,182,4,Lise Mezunu,Evet,3500000,8300000,2,897,7900000,5500000,12600000,1800000,Onaylandı,2024-04-20
1062,633,3,Lise Mezunu,Hayır,300000,500000,2,477,700000,200000,800000,400000,Reddedildi,2025-09-09
1063,218,3,Lise Mezunu,Evet,600000,1400000,16,509,600000,300000,2400000,900000,Reddedildi,2025-04-13
1064,615,0,Lisans Mezunu,Evet,800000,1700000,4,752,2300000,1100000,3200000,400000,Onaylandı,2024-10-12
1065,258,0,Lise Mezunu,Evet,5600000,19100000,14,875,16700000,4700000,15100000,7700000,Onaylandı,2024-04-03
1066,773,2,Lise Mezunu,Evet,1800000,3600000,4,343,3400000,1100000,6200000,1500000,Reddedildi,2024-05-30
1067,365,0,Lisans Mezunu,Hayır,6800000,20800000,20,819,16500000,11900000,26700000,8000000,Onaylandı,2025-01-15
1068,240,2,Lisans Mezunu,Evet,4200000,16800000,2,433,3300000,0,14100000,3700000,Onaylandı,2024-01-26
1069,165,1,Lise Mezunu,Evet,200000,400000,6,768,300000,100000,600000,0,Onaylandı,2024-03-15
1070,655,2,Lisans Mezunu,Evet,8500000,31800000,6,714,17000000,900000,26600000,5600000,Onaylandı,2025-05-14
1071,831,2,Lise Mezunu,Evet,2800000,10100000,16,531,2900000,2900000,7200000,4100000,Reddedildi,2024-06-08
1072,156,0,Lisans Mezunu,Evet,3600000,8600000,6,529,3500000,3300000,11300000,5200000,Reddedildi,2025-03-21
1073,727,1,Lise Mezunu,Hayır,6200000,19500000,20,448,3300000,7100000,22400000,8000000,Reddedildi,2024-08-05
1074,928,1,Lisans Mezunu,Hayır,2700000,10000000,2,584,6500000,2700000,7700000,3400000,Onaylandı,2025-05-05
1075,349,1,Lisans Mezunu,Hayır,6800000,22900000,4,501,3900000,9400000,17300000,4400000,Onaylandı,2025-08-23
1076,67,2,Lise Mezunu,Hayır,6300000,24500000,18,848,10200000,3500000,18200000,8200000,Onaylandı,2024-07-06
1077,567,4,Lise Mezunu,Hayır,8800000,19100000,6,586,17600000,8800000,20600000,12400000,Onaylandı,2025-02-11
1078,946,1,Lisans Mezunu,Hayır,5900000,13000000,2,386,16300000,5000000,12000000,3800000,Reddedildi,2025-08-05
1079,443,5,Lise Mezunu,Evet,9800000,37900000,18,301,6700000,4900000,34300000,6200000,Reddedildi,2024-08-13
1080,384,2,Lisans Mezunu,Hayır,3300000,8300000,6,653,4700000,3100000,8300000,4600000,Onaylandı,2024-10-03
1081,258,4,Lisans Mezunu,Evet,300000,500000,14,448,700000,100000,800000,100000,Reddedildi,2024-09-20
1082,69,1,Lise Mezunu,Evet,4800000,11600000,16,696,1400000,9400000,11800000,6500000,Onaylandı,2025-03-09
1083,229,1,Lisans Mezunu,Hayır,7500000,28300000,16,707,9700000,1100000,16300000,6700000,Onaylandı,2024-06-30
1084,283,2,Lise Mezunu,Hayır,8600000,21700000,4,429,5500000,10800000,30900000,6000000,Reddedildi,2025-03-28
1085,267,4,Lise Mezunu,Hayır,8900000,21100000,6,631,4200000,200000,25800000,6200000,Onaylandı,2024-11-05
1086,385,5,Lise Mezunu,Evet,9600000,29600000,4,446,22900000,3500000,36600000,13200000,Onaylandı,2024-04-11
1087,246,0,Lisans Mezunu,Evet,7700000,18100000,18,705,6100000,5100000,23800000,6300000,Onaylandı,2025-09-06
1088,698,3,Lise Mezunu,Evet,7000000,15200000,2,709,10300000,12500000,20700000,4000000,Onaylandı,2025-07-09
1089,125,4,Lise Mezunu,Evet,7800000,19500000,14,739,1900000,9000000,20400000,4400000,Onaylandı,2024-08-07
1090,995,3,Lisans Mezunu,Hayır,5100000,11000000,6,336,-100000,5800000,11600000,7500000,Reddedildi,2025-08-06
1091,493,4,Lisans Mezunu,Hayır,9400000,32600000,4,898,18200000,4000000,22000000,10200000,Onaylandı,2025-07-31
1092,569,4,Lise Mezunu,Evet,600000,2100000,6,558,1300000,1000000,2200000,300000,Onaylandı,2024-10-25
1093,268,3,Lisans Mezunu,Hayır,5100000,13300000,4,589,11200000,2700000,20200000,6100000,Onaylandı,2024-03-17
1094,976,2,Lisans Mezunu,Evet,3800000,14400000,2,301,2300000,1400000,7600000,2400000,Reddedildi,2024-11-12
1095,223,2,Lise Mezunu,Evet,5300000,21200000,14,516,2200000,5000000,20900000,7700000,Reddedildi,2025-07-11
1096,163,5,Lise Mezunu,Hayır,1100000,3600000,12,315,1300000,700000,3100000,1400000,Reddedildi,2024-05-02
1097,400,3,Lise Mezunu,Hayır,6400000,14400000,10,546,10600000,10000000,21200000,5100000,Reddedildi,2025-04-19
1098,878,0,Lise Mezunu,Evet,5100000,14500000,14,559,11000000,1100000,12300000,6000000,Onaylandı,2025-08-21
1099,726,3,Lisans Mezunu,Evet,5300000,16900000,2,350,15800000,3100000,14300000,6800000,Onaylandı,2025-09-12
1100,365,1,Lisans Mezunu,Hayır,6700000,18700000,8,583,9300000,4100000,17100000,6900000,Onaylandı,2024-04-16
1101,432,2,Lise Mezunu,Hayır,4000000,9400000,8,874,4400000,3700000,10200000,4800000,Onaylandı,2025-07-30
1102,998,2,Lise Mezunu,Evet,3900000,11600000,8,808,5800000,3100000,12900000,5000000,Onaylandı,2025-06-16
1103,970,1,Lisans Mezunu,Evet,1600000,4900000,16,487,4300000,1100000,3900000,2000000,Reddedildi,2024-12-02
1104,411,3,Lisans Mezunu,Hayır,2700000,7800000,14,870,5400000,5300000,5700000,2100000,Onaylandı,2024-12-05
1105,951,3,Lisans Mezunu,Hayır,1400000,3800000,8,840,1700000,200000,5300000,1500000,Onaylandı,2025-06-24
1106,430,4,Lise Mezunu,Evet,8000000,19200000,18,682,2500000,8900000,19000000,5300000,Onaylandı,2025-01-15
1107,928,3,Lisans Mezunu,Evet,8200000,28900000,10,668,23800000,4500000,28700000,10900000,Onaylandı,2025-03-12
1108,290,5,Lisans Mezunu,Evet,4800000,10300000,8,781,4800000,6800000,11100000,4300000,Onaylandı,2025-05-09
1109,580,4,Lisans Mezunu,Hayır,8100000,19000000,6,375,4100000,14500000,19100000,11900000,Reddedildi,2024-10-04
1110,52,4,Lise Mezunu,Hayır,5900000,14900000,14,857,2600000,9500000,16000000,3500000,Onaylandı,2024-10-29
1111,159,5,Lisans Mezunu,Evet,8100000,32100000,6,823,18200000,1800000,24100000,6500000,Onaylandı,2025-05-11
1112,919,0,Lisans Mezunu,Hayır,1400000,5000000,8,686,1800000,1900000,3200000,1500000,Onaylandı,2025-06-01
1113,757,1,Lisans Mezunu,Hayır,1600000,6300000,2,721,3000000,600000,5200000,900000,Onaylandı,2025-10-29
1114,309,4,Lisans Mezunu,Hayır,4600000,9400000,18,545,800000,2400000,11500000,6300000,Reddedildi,2025-03-20
1115,772,1,Lise Mezunu,Hayır,2900000,8900000,6,523,900000,5600000,9700000,1800000,Reddedildi,2025-08-23
1116,667,2,Lisans Mezunu,Evet,8600000,24900000,20,607,13600000,7600000,31800000,5400000,Onaylandı,2024-10-06
1117,939,4,Lise Mezunu,Hayır,3800000,14900000,20,428,6500000,3500000,12200000,2500000,Reddedildi,2025-03-04
1118,226,0,Lise Mezunu,Hayır,8200000,20300000,4,666,13100000,10200000,25900000,7800000,Onaylandı,2025-01-12
1119,777,3,Lisans Mezunu,Hayır,3200000,10100000,20,704,3400000,4800000,9000000,3900000,Onaylandı,2025-07-30
1120,70,0,Lise Mezunu,Evet,8100000,23800000,10,794,5400000,15500000,20700000,8800000,Onaylandı,2025-08-21
1121,549,1,Lisans Mezunu,Evet,9800000,23300000,12,430,3200000,12600000,30500000,13900000,Reddedildi,2024-07-19
1122,75,0,Lise Mezunu,Hayır,200000,500000,20,615,500000,200000,600000,200000,Onaylandı,2024-12-22
1123,915,0,Lise Mezunu,Hayır,6600000,14100000,20,360,6800000,5100000,25400000,7800000,Reddedildi,2024-04-07
1124,776,0,Lise Mezunu,Hayır,9100000,18300000,14,458,6100000,9200000,34100000,10000000,Reddedildi,2025-10-06
1125,216,2,Lise Mezunu,Hayır,5500000,20400000,12,887,8800000,9400000,12300000,3300000,Onaylandı,2025-08-17
1126,31,4,Lise Mezunu,Hayır,7200000,27400000,8,735,14100000,14200000,19400000,9500000,Onaylandı,2025-05-27
1127,810,1,Lise Mezunu,Hayır,2400000,5600000,16,379,3700000,600000,7200000,3400000,Reddedildi,2024-12-18
1128,444,4,Lisans Mezunu,Hayır,9600000,25500000,20,544,4000000,11400000,23800000,11100000,Reddedildi,2025-02-28
1129,867,1,Lisans Mezunu,Evet,5800000,16700000,12,721,1100000,9700000,17200000,7500000,Onaylandı,2025-08-11
1130,300,4,Lise Mezunu,Hayır,2300000,6000000,8,676,6000000,400000,4800000,2200000,Onaylandı,2024-05-20
1131,748,1,Lise Mezunu,Hayır,300000,1200000,4,342,800000,100000,1100000,200000,Onaylandı,2024-04-05
1132,177,0,Lise Mezunu,Hayır,9900000,27000000,16,566,3500000,17300000,36900000,11500000,Onaylandı,2024-06-01
1133,980,2,Lise Mezunu,Hayır,3500000,14000000,2,355,8700000,1600000,11800000,2900000,Onaylandı,2024-09-30
1134,693,2,Lisans Mezunu,Hayır,4800000,18500000,20,605,5700000,5500000,14700000,5800000,Onaylandı,2024-06-25
1135,448,2,Lise Mezunu,Hayır,1600000,5200000,16,525,300000,2900000,5600000,1600000,Reddedildi,2024-02-05
1136,632,5,Lisans Mezunu,Evet,800000,2500000,12,403,500000,0,3200000,800000,Reddedildi,2024-03-17
1137,311,1,Lisans Mezunu,Evet,9000000,33500000,18,727,18800000,10500000,28100000,5300000,Onaylandı,2025-02-13
1138,193,1,Lisans Mezunu,Hayır,8300000,28900000,12,529,18300000,3900000,32500000,5800000,Reddedildi,2024-03-08
1139,954,4,Lisans Mezunu,Hayır,2800000,6100000,18,415,2200000,4200000,8400000,2000000,Reddedildi,2024-01-07
1140,923,1,Lisans Mezunu,Evet,6400000,17300000,10,879,10000000,1100000,15400000,8200000,Onaylandı,2025-04-04
1141,235,2,Lise Mezunu,Evet,6000000,12600000,16,649,4800000,5300000,23900000,5100000,Onaylandı,2024-04-21
1142,574,0,Lisans Mezunu,Hayır,2900000,9800000,16,395,5400000,4300000,8600000,2400000,Reddedildi,2025-04-08
1143,880,0,Lisans Mezunu,Hayır,6500000,24100000,20,488,3300000,6000000,22900000,9700000,Reddedildi,2024-05-10
1144,9,1,Lisans Mezunu,Evet,200000,400000,8,569,200000,200000,700000,300000,Onaylandı,2025-09-05
1145,580,1,Lise Mezunu,Hayır,8400000,24600000,14,817,1800000,13100000,31300000,8200000,Onaylandı,2024-04-12
1146,49,1,Lisans Mezunu,Evet,6100000,17800000,20,706,16000000,10900000,16900000,4300000,Onaylandı,2024-03-04
1147,47,2,Lisans Mezunu,Evet,8000000,31200000,8,553,6800000,3500000,21000000,10300000,Onaylandı,2024-05-08
1148,360,5,Lise Mezunu,Evet,900000,1800000,14,464,2300000,300000,1800000,700000,Reddedildi,2025-07-14
1149,645,2,Lisans Mezunu,Hayır,7300000,20000000,6,729,13100000,10700000,17900000,9100000,Onaylandı,2024-04-16
1150,985,4,Lise Mezunu,Evet,3700000,7400000,12,363,4800000,6800000,10500000,4400000,Reddedildi,2024-03-26
1151,438,2,Lisans Mezunu,Hayır,5200000,17200000,12,565,3500000,1300000,20000000,6300000,Onaylandı,2025-01-30
1152,61,1,Lisans Mezunu,Hayır,7200000,21000000,14,421,3500000,11600000,21800000,4600000,Reddedildi,2025-09-03
1153,855,0,Lise Mezunu,Evet,9400000,34200000,10,512,13100000,15600000,32600000,6300000,Reddedildi,2025-08-24
1154,216,3,Lise Mezunu,Evet,3400000,12400000,2,730,2500000,3900000,12200000,4600000,Onaylandı,2024-05-26
1155,664,0,Lisans Mezunu,Hayır,600000,2300000,8,627,1800000,500000,2200000,300000,Onaylandı,2024-11-26
1156,991,0,Lise Mezunu,Evet,3300000,10000000,16,434,3000000,4100000,12900000,4100000,Reddedildi,2024-08-27
1157,548,2,Lisans Mezunu,Evet,5900000,14300000,2,410,11900000,4400000,16900000,4100000,Reddedildi,2024-07-23
1158,682,3,Lise Mezunu,Hayır,1300000,3600000,16,624,2400000,2300000,3300000,1900000,Onaylandı,2025-05-26
1159,544,4,Lisans Mezunu,Evet,5700000,16900000,4,656,13000000,7400000,22000000,8400000,Onaylandı,2024-12-01
1160,759,2,Lise Mezunu,Hayır,7700000,27300000,16,758,7300000,4600000,24800000,9100000,Onaylandı,2025-08-04
1161,726,4,Lise Mezunu,Evet,7000000,23500000,18,336,15000000,9500000,19700000,7800000,Reddedildi,2024-01-19
1162,902,5,Lisans Mezunu,Hayır,8100000,21900000,18,378,5200000,3400000,16200000,9600000,Reddedildi,2025-02-21
1163,621,1,Lisans Mezunu,Evet,1900000,4200000,4,620,4700000,2800000,7500000,900000,Onaylandı,2024-09-27
1164,852,2,Lisans Mezunu,Hayır,4500000,9100000,18,593,-100000,600000,12400000,2500000,Onaylandı,2025-05-02
1165,62,0,Lise Mezunu,Evet,9600000,34000000,12,710,23800000,10300000,38100000,7800000,Onaylandı,2025-04-21
1166,353,1,Lise Mezunu,Evet,5400000,20700000,8,753,1900000,800000,19000000,3600000,Onaylandı,2025-05-23
1167,232,1,Lise Mezunu,Evet,7800000,27200000,16,454,16100000,3400000,17100000,11400000,Reddedildi,2024-12-11
1168,487,1,Lisans Mezunu,Evet,8200000,19100000,8,619,17200000,12200000,31500000,6600000,Onaylandı,2024-03-04
1169,334,2,Lisans Mezunu,Hayır,8900000,28500000,6,367,22200000,16600000,21500000,9300000,Reddedildi,2025-04-03
1170,103,1,Lisans Mezunu,Hayır,1400000,3100000,20,384,200000,1200000,4200000,1800000,Reddedildi,2025-05-04
1171,497,2,Lisans Mezunu,Hayır,1700000,5900000,16,610,3100000,300000,3700000,1300000,Onaylandı,2024-10-04
1172,926,0,Lisans Mezunu,Hayır,5300000,19500000,12,802,9800000,3300000,15200000,3200000,Onaylandı,2024-09-14
1173,386,3,Lisans Mezunu,Hayır,6500000,25200000,10,858,15400000,10900000,14000000,8100000,Onaylandı,2024-03-18
1174,891,2,Lisans Mezunu,Hayır,5900000,14000000,8,599,4700000,9500000,17800000,6700000,Onaylandı,2025-10-10
1175,804,4,Lisans Mezunu,Evet,9800000,27000000,2,395,18700000,3000000,23000000,9700000,Reddedildi,2024-02-15
1176,795,3,Lisans Mezunu,Evet,7700000,16200000,6,380,11500000,15100000,22500000,6400000,Reddedildi,2024-10-07
1177,133,1,Lisans Mezunu,Hayır,7900000,27100000,10,803,20000000,9800000,22200000,6600000,Onaylandı,2024-12-19
1178,154,4,Lisans Mezunu,Hayır,3500000,8900000,20,809,7100000,1500000,13700000,3200000,Onaylandı,2025-07-24
1179,76,4,Lise Mezunu,Hayır,2400000,6600000,2,722,6100000,3300000,5600000,3000000,Onaylandı,2025-08-22
1180,983,5,Lisans Mezunu,Hayır,9900000,35700000,10,392,7900000,4300000,39200000,13000000,Reddedildi,2024-11-08
1181,459,0,Lisans Mezunu,Hayır,3900000,14500000,8,545,5900000,3000000,10300000,3400000,Reddedildi,2025-08-03
1182,270,2,Lise Mezunu,Evet,7300000,28500000,10,799,21500000,3100000,15800000,4300000,Onaylandı,2024-10-27
1183,620,0,Lisans Mezunu,Evet,6400000,21900000,12,727,15400000,10100000,24000000,5300000,Onaylandı,2025-01-25
1184,115,4,Lisans Mezunu,Hayır,7100000,19800000,18,530,7100000,3400000,20900000,7100000,Reddedildi,2024-02-27
1185,261,2,Lise Mezunu,Hayır,8800000,19000000,14,637,13700000,13900000,27100000,6100000,Onaylandı,2025-03-07
1186,186,5,Lisans Mezunu,Hayır,7400000,21000000,4,561,21300000,3800000,26400000,3900000,Onaylandı,2025-04-05
1187,779,2,Lise Mezunu,Hayır,4400000,12000000,20,421,9300000,2700000,15700000,3400000,Reddedildi,2025-05-08
1188,240,3,Lisans Mezunu,Evet,8600000,30300000,14,459,12000000,4100000,23800000,9100000,Reddedildi,2024-05-03
1189,393,3,Lise Mezunu,Hayır,6900000,26000000,14,828,14800000,4200000,18500000,3600000,Onaylandı,2024-10-05
1190,324,4,Lisans Mezunu,Hayır,9600000,27500000,20,679,23400000,7500000,37800000,6300000,Onaylandı,2025-08-11
1191,339,2,Lisans Mezunu,Evet,8100000,25700000,8,455,22300000,11500000,19800000,9500000,Reddedildi,2025-10-25
1192,495,0,Lise Mezunu,Hayır,2600000,9400000,18,879,2800000,1400000,5100000,2300000,Onaylandı,2025-07-04
1193,932,3,Lisans Mezunu,Evet,9300000,26100000,14,636,4700000,16100000,34500000,11600000,Onaylandı,2024-04-03
